ID,PerfilEconomico,Sexo,Idade,PerfilCompra,ValorCompraAnual,GastoMax,GastoMedio,UF,CidadeResidencia,RegiaodoPais,NumeroComprasOnline,MesesDesempregado,Anuidade
15,3,mulher,14,0,78542,5610.1428571429,6545.1666666667,MG,Alto Jequitibá,Região Sudeste,935.0238095238,6,"38,1845725488"
16,2,mulher,55,0,16,1.1428571429,1.3333333333,SP,Porangaba,Região Sudeste,0.0484848485,9,"8,294579925"
17,3,homem,22,4,29125,2080.3571428572,2427.0833333333,RS,Jóia,Região Sul,220.6439393939,6,"2,8584444948"
18,2,homem,30,0,13,0.9285714286,1.0833333333,MG,Verdelândia,Região Sudeste,0.0722222222,3,"96,7565091514"
19,3,mulher,31,1,18,1.2857142857,1.5,SC,Monte Castelo,Região Sul,0.0967741935,2,"39,518210272"
20,3,mulher,45,0,7225,516.0714285714,602.0833333333,SE,Ilha Das Flores,Região Nordeste,26.7592592593,0,"108,3861307738"
21,2,homem,35,0,26,1.8571428571,2.1666666667,MG,São Pedro Dos Ferros,Região Sudeste,0.1238095238,9,"27,5784589121"
22,2,homem,34,0,13,0.9285714286,1.0833333333,BA,Gongogi,Região Nordeste,0.0637254902,0,"23,0198003079"
23,3,mulher,15,0,80292,5735.1428571429,6691,GO,Aragoiânia,Região Centro-Oeste,892.1333333333,7,"101,9823237406"
24,1,homem,28,0,355,25.3571428571,29.5833333333,SE,Pirambu,Região Nordeste,2.1130952381,6,"77,3809580602"
25,3,mulher,80,3,21075,1505.3571428572,1756.25,TO,Alvorada,Região Norte,439.0625,2,"55,3856650979"
26,3,mulher,30,1,31387,2241.9285714286,2615.5833333333,RR,Uiramutã,Região Norte,174.3722222222,5,"0,8170122303"
27,3,homem,31,0,7225,516.0714285714,602.0833333333,PB,Gado Bravo,Região Nordeste,38.8440860215,4,"22,1782635772"
28,1,homem,45,3,263,18.7857142857,21.9166666667,MG,Prados,Região Sudeste,0.9740740741,5,"65,7839743145"
29,3,mulher,35,0,78792,5628,6566,MG,Lontra,Região Sudeste,375.2,7,"44,004434985"
30,3,homem,34,0,78958,5639.8571428572,6579.8333333333,PI,Redenção do Gurguéia,Região Nordeste,387.0490196078,7,"59,3494576414"
31,1,homem,15,0,277208,19800.5714285714,23100.6666666667,SP,Ouroeste,Região Sudeste,3080.0888888889,2,"117,8895054238"
32,1,mulher,30,1,1465,104.6428571429,122.0833333333,SP,São José da Bela Vista,Região Sudeste,8.1388888889,8,"69,3827927362"
33,3,mulher,31,0,775,55.3571428571,64.5833333333,SC,Iporã do Oeste,Região Sul,4.1666666667,5,"36,7280312582"
34,2,homem,45,0,105,7.5,8.75,BA,Palmeiras,Região Nordeste,0.3888888889,5,"116,7705286038"
35,1,homem,35,1,8217,586.9285714286,684.75,MG,Serra Dos Aimorés,Região Sudeste,39.1285714286,8,"36,0016083818"
36,1,homem,34,1,52,3.7142857143,4.3333333333,GO,Bom Jardim de Goiás,Região Centro-Oeste,0.2549019608,0,"24,602577314"
37,3,homem,15,0,72292,5163.7142857143,6024.3333333333,RN,Pureza,Região Nordeste,803.2444444444,7,"40,2899807194"
38,3,homem,21,0,805,57.5,67.0833333333,AL,Porto de Pedras,Região Nordeste,6.3888888889,4,"99,9181586183"
39,3,mulher,18,2,18,1.2857142857,1.5,SC,Balneário Barra do Sul,Região Sul,0.1666666667,0,"21,8195280551"
40,3,mulher,14,1,112417,8029.7857142857,9368.0833333333,SP,Guaraçaí,Região Sudeste,1338.2976190476,0,"73,9380335534"
41,3,mulher,40,1,9475,676.7857142857,789.5833333333,RS,São Vicente do Sul,Região Sul,39.4791666667,2,"67,9681543099"
42,2,mulher,27,1,21,1.5,1.75,AM,Silves,Região Norte,0.1296296296,4,"74,4387278574"
43,3,homem,30,0,78958,5639.8571428572,6579.8333333333,MA,Cachoeira Grande,Região Nordeste,438.6555555556,1,"84,3846095118"
44,2,mulher,31,1,41579,2969.9285714286,3464.9166666667,RS,General Câmara,Região Sul,223.5430107527,0,"69,9514415835"
45,3,mulher,45,0,78792,5628,6566,PI,Murici Dos Portelas,Região Nordeste,291.8222222222,1,"51,7134303791"
46,3,homem,35,0,805,57.5,67.0833333333,BA,Malhada de Pedras,Região Nordeste,3.8333333333,7,"1,2656753003"
47,3,homem,34,1,155,11.0714285714,12.9166666667,AC,Bujari,Região Norte,0.7598039216,2,"76,1302786102"
48,3,mulher,15,0,775,55.3571428571,64.5833333333,AL,Olho D´água do Casado,Região Nordeste,8.6111111111,9,"99,8126084758"
49,3,homem,30,2,2160,154.2857142857,180,MS,Anaurilândia,Região Centro-Oeste,12,5,"22,9637072035"
50,3,mulher,31,1,178,12.7142857143,14.8333333333,TO,Filadélfia,Região Norte,0.9569892473,8,"66,8204384041"
51,3,homem,45,4,396,28.2857142857,33,SP,Terra Roxa,Região Sudeste,1.4666666667,1,"54,4447631902"
52,3,homem,35,0,78,5.5714285714,6.5,SE,Nossa Senhora Aparecida,Região Nordeste,0.3714285714,7,"47,319614156"
53,1,mulher,34,1,7672,548,639.3333333333,GO,Nova Glória,Região Centro-Oeste,37.6078431373,8,"55,6806919303"
54,2,mulher,15,1,26,1.8571428571,2.1666666667,SP,Nova Campina,Região Sudeste,0.2888888889,6,"52,6944335552"
55,1,homem,65,0,61979,4427.0714285714,5164.9166666667,MT,Denise,Região Centro-Oeste,158.9205128205,1,"8,7035389925"
56,1,homem,30,0,355,25.3571428571,29.5833333333,MA,Jatobá,Região Nordeste,1.9722222222,7,"2,8844665328"
57,2,mulher,31,0,105,7.5,8.75,SP,Ariranha,Região Sudeste,0.564516129,5,"18,4934979831"
58,3,homem,45,0,72292,5163.7142857143,6024.3333333333,PR,Japurá,Região Sul,267.7481481481,1,"92,0776929314"
59,2,mulher,35,1,2775,198.2142857143,231.25,PI,Queimada Nova,Região Nordeste,13.2142857143,5,"14,6802915813"
60,3,homem,34,5,469,33.5,39.0833333333,PR,Mauá da Serra,Região Sul,2.2990196078,1,"117,3875249703"
61,3,homem,15,0,72292,5163.7142857143,6024.3333333333,RS,Tuparendi,Região Sul,803.2444444444,3,"66,7341647322"
62,1,mulher,38,0,80,5.7142857143,6.6666666667,RJ,Rio Das Flores,Região Sudeste,0.350877193,3,"7,6929378971"
63,1,homem,45,1,83475,5962.5,6956.25,RO,Itapuã do Oeste,Região Norte,309.1666666667,2,"106,6174729631"
64,3,homem,30,3,279,19.9285714286,23.25,MT,Apiacás,Região Centro-Oeste,1.55,9,"107,738675601"
65,1,homem,31,0,2772,198,231,RN,Baía Formosa,Região Nordeste,14.9032258065,7,"86,304073466"
66,3,homem,45,1,152458,10889.8571428571,12704.8333333333,GO,Itauçu,Região Centro-Oeste,564.6592592593,1,"85,0054382873"
67,2,mulher,35,0,105,7.5,8.75,MG,Santana do Manhuaçu,Região Sudeste,0.5,5,"3,8122469435"
68,3,homem,34,0,81583,5827.3571428572,6798.5833333333,MG,Pavão,Região Sudeste,399.9166666667,7,"61,6447760343"
69,3,mulher,18,4,7925,566.0714285714,660.4166666667,SP,Paulo de Faria,Região Sudeste,73.3796296296,7,"0,1693975699"
70,3,homem,26,2,86625,6187.5,7218.75,PI,Francisco Santos,Região Nordeste,555.2884615385,8,"3,9859526015"
71,2,homem,32,0,105,7.5,8.75,BA,Aratuípe,Região Nordeste,0.546875,4,"22,9104200866"
72,3,mulher,19,5,469,33.5,39.0833333333,BA,Ribeirão do Largo,Região Nordeste,4.1140350877,5,"56,0052334625"
73,2,homem,21,0,735,52.5,61.25,SP,Dourado,Região Sudeste,5.8333333333,4,"69,6454741298"
74,3,homem,26,1,144542,10324.4285714286,12045.1666666667,TO,Colméia,Região Norte,926.5512820513,8,"1,7332915054"
75,3,homem,32,0,56495,4035.3571428572,4707.9166666667,SP,Rafard,Região Sudeste,294.2447916667,3,"69,6006741938"
76,3,homem,25,0,765,54.6428571429,63.75,MG,Virgínia,Região Sudeste,5.1,0,"116,5685261317"
77,3,homem,30,0,78958,5639.8571428572,6579.8333333333,SC,Anita Garibaldi,Região Sul,438.6555555556,2,"64,3068032514"
78,3,homem,31,0,805,57.5,67.0833333333,PR,São Sebastião da Amoreira,Região Sul,4.3279569892,5,"34,4980274429"
79,2,homem,45,0,29,2.0714285714,2.4166666667,MG,Lagoa Grande,Região Sudeste,0.1074074074,6,"70,4775258186"
80,3,mulher,35,0,12475,891.0714285714,1039.5833333333,SC,Descanso,Região Sul,59.4047619048,1,"11,4446845822"
81,3,homem,34,0,900,64.2857142857,75,RS,Casca,Região Sul,4.4117647059,9,"117,1388184297"
82,3,homem,15,0,95,6.7857142857,7.9166666667,BA,Várzea do Poço,Região Nordeste,1.0555555556,2,"54,3900161058"
83,3,mulher,22,0,77875,5562.5,6489.5833333333,MG,Itapeva,Região Sudeste,589.9621212121,9,"40,5462882294"
84,1,homem,28,0,77875,5562.5,6489.5833333333,MG,Cordisburgo,Região Sudeste,463.5416666667,9,"75,8543713906"
85,2,mulher,17,0,105,7.5,8.75,RN,São Miguel do Gostoso,Região Nordeste,1.0294117647,2,"97,332615028"
86,3,mulher,33,3,1585,113.2142857143,132.0833333333,ES,Vila Pavão,Região Sudeste,8.0050505051,2,"111,2980474376"
87,3,homem,16,1,34375,2455.3571428572,2864.5833333333,SC,Tangará,Região Sul,358.0729166667,0,"30,3002051242"
88,3,homem,22,0,805,57.5,67.0833333333,MG,Guarani,Região Sudeste,6.0984848485,0,"82,1176171679"
89,1,mulher,23,3,263,18.7857142857,21.9166666667,PR,Tuneiras do Oeste,Região Sul,1.9057971014,1,"29,4367094006"
90,3,homem,24,0,805,57.5,67.0833333333,RR,Iracema,Região Norte,5.5902777778,3,"61,0243041725"
91,3,homem,29,0,805,57.5,67.0833333333,SP,Herculândia,Região Sudeste,4.6264367816,3,"68,7306921237"
92,3,homem,20,0,7854,561,654.5,MG,Guiricema,Região Sudeste,65.45,4,"114,1254137548"
93,1,homem,46,1,6117,436.9285714286,509.75,MG,Rio Novo,Região Sudeste,22.1630434783,6,"92,521736885"
94,3,homem,26,1,2057,146.9285714286,171.4166666667,GO,Barro Alto,Região Centro-Oeste,13.1858974359,8,"0,7070711172"
95,3,homem,59,0,725,51.7857142857,60.4166666667,MG,Dionísio,Região Sudeste,2.0480225989,8,"49,3763674756"
96,3,homem,22,0,805,57.5,67.0833333333,PR,Santa Isabel do Ivaí,Região Sul,6.0984848485,5,"32,5434981537"
97,1,homem,71,0,34654,2475.2857142857,2887.8333333333,SC,Santa Terezinha,Região Sul,81.3474178404,6,"60,4665070942"
98,1,homem,23,0,63358,4525.5714285714,5279.8333333333,RN,Presidente Juscelino,Região Nordeste,459.115942029,8,"26,1089523388"
99,2,mulher,34,0,23,1.6428571429,1.9166666667,RS,Candiota,Região Sul,0.112745098,0,"89,1063818959"
100,2,homem,34,1,26,1.8571428571,2.1666666667,SP,Neves Paulista,Região Sudeste,0.1274509804,6,"27,8135688918"
101,3,mulher,28,0,78958,5639.8571428572,6579.8333333333,BA,Santanópolis,Região Nordeste,469.9880952381,0,"53,1673821976"
102,3,homem,22,0,78958,5639.8571428572,6579.8333333333,SP,Lavínia,Região Sudeste,598.1666666667,1,"51,0953376272"
103,1,homem,21,0,772875,55205.3571428572,64406.25,BA,Maiquinique,Região Nordeste,6133.9285714286,9,"50,4168872621"
104,3,homem,33,0,86542,6181.5714285714,7211.8333333333,RO,Corumbiara,Região Norte,437.0808080808,6,"29,6120678029"
105,3,homem,37,2,7925,566.0714285714,660.4166666667,TO,Araguaçu,Região Norte,35.6981981982,6,"57,9018339857"
106,3,homem,28,0,78958,5639.8571428572,6579.8333333333,SP,Salto Grande,Região Sudeste,469.9880952381,9,"44,6068677431"
107,3,mulher,21,0,765,54.6428571429,63.75,PR,Tomazina,Região Sul,6.0714285714,6,"0,6715667844"
108,3,homem,22,0,7775,555.3571428571,647.9166666667,AC,Capixaba,Região Norte,58.9015151515,9,"8,4917100404"
109,3,homem,38,0,78958,5639.8571428572,6579.8333333333,SP,Vargem,Região Sudeste,346.3070175439,3,"32,6729070781"
110,3,mulher,22,1,2415,172.5,201.25,MG,Pratápolis,Região Sudeste,18.2954545455,6,"21,024123912"
111,1,homem,47,0,52,3.7142857143,4.3333333333,BA,Planaltino,Região Nordeste,0.1843971631,2,"22,2811157646"
112,3,mulher,45,1,144542,10324.4285714286,12045.1666666667,RS,Santa Bárbara do Sul,Região Sul,166.1402298851,8,"58,9807564031"
113,3,homem,22,0,805,57.5,67.0833333333,SP,Igaratá,Região Sudeste,6.0984848485,3,"0,6361311592"
114,3,mulher,20,1,9825,701.7857142857,818.75,SE,Pedrinhas,Região Nordeste,81875,1,"14,6374450853"
115,3,mulher,17,0,144583,10327.3571428571,12048.5833333333,SP,Urânia,Região Sudeste,1417.4803921569,3,"89,2507546823"
116,3,homem,21,0,7925,566.0714285714,660.4166666667,PR,Icaraíma,Região Sul,62.8968253968,0,"55,9249023074"
117,3,homem,70,0,775,55.3571428571,64.5833333333,RS,Nova Bassano,Região Sul,0.18321513,8,"115,3743727494"
118,2,homem,29,1,21,1.5,1.75,BA,Caturama,Região Nordeste,0.1206896552,5,"48,3040610724"
119,1,homem,24,0,2475208,176800.571428571,206267.333333333,PE,Brejão,Região Nordeste,17188.9444444444,6,"108,2800462855"
120,3,mulher,22,4,31275,2233.9285714286,2606.25,PR,Marilândia do Sul,Região Sul,2606.25,7,"60,2053527218"
121,2,homem,21,2,735,52.5,61.25,CE,Palhano,Região Nordeste,5.8333333333,4,"104,8785027008"
122,3,homem,22,0,805,57.5,67.0833333333,MG,Capim Branco,Região Sudeste,6.0984848485,4,"110,3241972358"
123,2,homem,32,1,300708,21479.1428571429,25059,MT,Ribeirão Cascalheira,Região Centro-Oeste,154.2092307692,9,"12,6750395692"
124,2,mulher,32,0,13,0.9285714286,1.0833333333,RO,Santa Luzia D´oeste,Região Norte,0.0066666667,2,"48,3573954272"
125,1,homem,54,0,772875,55205.3571428572,64406.25,BA,Candeal,Região Nordeste,2385.4166666667,1,"27,9591099582"
126,3,homem,12,1,112417,8029.7857142857,9368.0833333333,RJ,São Sebastião do Alto,Região Sudeste,1561.3472222222,3,"116,2258972897"
127,3,homem,22,0,775,55.3571428571,64.5833333333,BA,Cardeal da Silva,Região Nordeste,5.8712121212,0,"10,2102374639"
128,3,homem,24,0,71417,5101.2142857143,5951.4166666667,CE,Tarrafas,Região Nordeste,495.9513888889,9,"66,826186252"
129,3,mulher,22,1,223583,15970.2142857143,18631.9166666667,MG,Perdigão,Região Sudeste,1693.8106060606,9,"17,2904378453"
130,3,homem,45,0,6975,498.2142857143,581.25,PI,Ilha Grande,Região Nordeste,25.8333333333,3,"72,3803349567"
131,3,homem,33,0,78958,5639.8571428572,6579.8333333333,MG,Frei Inocêncio,Região Sudeste,398.7777777778,8,"44,446591742"
132,3,homem,20,0,705,50.3571428571,58.75,GO,Carmo do Rio Verde,Região Centro-Oeste,5875,9,"98,0476702297"
133,3,mulher,47,1,145,10.3571428571,12.0833333333,RS,Entre-ijuís,Região Sul,0.5141843972,3,"53,2198122698"
134,2,mulher,29,1,26,1.8571428571,2.1666666667,RR,Normandia,Região Norte,0.1494252874,9,"20,2724643365"
135,2,homem,25,0,13,0.9285714286,1.0833333333,SC,Bom Retiro,Região Sul,0.0866666667,6,"1,7538120866"
136,2,homem,23,0,150458,10747,12538.1666666667,ES,Ibitirama,Região Sudeste,1090.2753623188,2,"96,0677739659"
137,1,mulher,19,0,262833,18773.7857142857,21902.75,RN,Florânia,Região Nordeste,2305.552631579,2,"39,7171873726"
138,1,homem,37,1,531,37.9285714286,44.25,MG,Cachoeira de Pajeú,Região Sudeste,2.3918918919,6,"13,9976015856"
139,3,homem,16,0,92167,6583.3571428572,7680.5833333333,BA,Jaborandi,Região Nordeste,960.0729166667,5,"35,2388412979"
140,1,homem,24,0,792,56.5714285714,66,PR,Vera Cruz do Oeste,Região Sul,5.5,3,"98,6681211017"
141,3,mulher,22,0,152458,10889.8571428571,12704.8333333333,MG,Divisópolis,Região Sudeste,1154.9848484849,7,"88,2000745758"
142,3,mulher,22,0,775,55.3571428571,64.5833333333,BA,Wagner,Região Nordeste,5.8712121212,7,"51,4418648112"
143,3,mulher,24,1,1585,113.2142857143,132.0833333333,MG,Pocrane,Região Sudeste,11.0069444444,3,"87,2212179334"
144,3,homem,19,0,675,48.2142857143,56.25,SP,Manduri,Região Sudeste,5.9210526316,7,"118,6561282484"
145,2,homem,18,0,115,8.2142857143,9.5833333333,PR,Rondon,Região Sul,1.0648148148,7,"52,8104705054"
146,2,homem,19,1,3675,262.5,306.25,AP,Calçoene,Região Norte,32.2368421053,9,"108,2712845325"
147,3,homem,27,0,77958,5568.4285714286,6496.5,TO,Natividade,Região Norte,481.2222222222,5,"6,9043904167"
148,3,mulher,34,2,34375,2455.3571428572,2864.5833333333,PR,Jesuítas,Região Sul,636.5740740741,1,"6,1540287077"
149,2,homem,36,0,26,1.8571428571,2.1666666667,RN,Januário Cicco,Região Nordeste,0.0118721461,6,"33,2917250894"
150,2,homem,42,0,13,0.9285714286,1.0833333333,SC,Saudades,Região Sul,0.0515873016,2,"30,4680643282"
151,2,homem,51,0,12525,894.6428571429,1043.75,MG,Coluna,Região Sudeste,40.931372549,3,"112,1288447811"
152,1,mulher,22,1,666,47.5714285714,55.5,SP,Ilha Comprida,Região Sudeste,5.0454545455,1,"59,6122353089"
153,3,homem,55,0,805,57.5,67.0833333333,PR,Itaipulândia,Região Sul,0.2417417417,5,"10,3974342146"
154,3,homem,40,0,145,10.3571428571,12.0833333333,MG,Santa Rita de Caldas,Região Sudeste,0.0596707819,7,"42,6627430794"
155,3,homem,22,0,73125,5223.2142857143,6093.75,SP,Sarapuí,Região Sudeste,553.9772727273,3,"84,5800037771"
156,1,homem,51,0,613792,43842.2857142857,51149.3333333333,MG,Caputira,Região Sudeste,2005.8562091503,1,"88,7173829509"
157,3,mulher,16,0,77333,5523.7857142857,6444.4166666667,AL,Campo Grande,Região Nordeste,805.5520833333,3,"1,1021308352"
158,3,homem,30,0,805,57.5,67.0833333333,GO,Buriti Alegre,Região Centro-Oeste,4.4722222222,5,"25,2991329447"
159,3,homem,22,0,86625,6187.5,7218.75,PR,São Jorge D´oeste,Região Sul,656.25,2,"118,4456181269"
160,3,homem,22,8,6955,496.7857142857,579.5833333333,MG,Rio Acima,Região Sudeste,52.6893939394,5,"112,9872059824"
161,3,homem,44,0,161,11.5,13.4166666667,CE,Deputado Irapuan Pinheiro,Região Nordeste,0.6098484848,3,"17,1207401889"
162,2,mulher,40,0,1575,112.5,131.25,PI,Anísio de Abreu,Região Nordeste,6.5625,4,"51,6283228384"
163,3,homem,26,0,7775,555.3571428571,647.9166666667,GO,Paranaiguara,Região Centro-Oeste,49.8397435897,9,"61,3796380853"
164,3,homem,19,0,86625,6187.5,7218.75,BA,Varzedo,Região Nordeste,849.2647058824,6,"81,6265185186"
165,3,homem,19,4,396875,28348.2142857143,33072.9166666667,MG,Coronel Murta,Região Sudeste,66145.8333333333,9,"3,1892984954"
166,3,homem,90,0,20525,1466.0714285714,1710.4166666667,PE,Verdejante,Região Nordeste,380.0925925926,1,"22,4264646966"
167,1,mulher,22,0,55,3.9285714286,4.5833333333,TO,Sítio Novo do Tocantins,Região Norte,0.4166666667,7,"52,8435006665"
168,3,mulher,45,1,279,19.9285714286,23.25,MG,Carbonita,Região Sudeste,1.0333333333,9,"23,0165047238"
169,1,homem,22,0,25925,1851.7857142857,2160.4166666667,AC,Porto Walter,Região Norte,196.4015151515,5,"117,254477611"
170,3,homem,28,0,564958,40354.1428571429,47079.8333333333,MS,Angélica,Região Centro-Oeste,3362.8452380952,1,"51,6498489801"
171,1,homem,61,0,335,23.9285714286,27.9166666667,MT,Nova Ubiratã,Região Centro-Oeste,0.9153005464,0,"85,0957021471"
172,3,homem,40,4,29125,2080.3571428572,2427.0833333333,PB,Triunfo,Região Nordeste,1213.5416666667,1,"36,8135363839"
173,3,mulher,18,1,111333,7952.3571428572,9277.75,SE,Rosário do Catete,Região Nordeste,18555.5,6,"64,0540625337"
174,3,homem,21,0,7925,566.0714285714,660.4166666667,BA,São Domingos,Região Nordeste,62.8968253968,5,"93,0335958464"
175,1,homem,56,0,306958,21925.5714285714,25579.8333333333,MG,Juruaia,Região Sudeste,913.5654761905,9,"74,4772360654"
176,3,homem,18,1,78542,5610.1428571429,6545.1666666667,MA,Fernando Falcão,Região Nordeste,727.2407407407,2,"56,8117308533"
177,3,homem,22,3,254667,18190.5,21222.25,PI,Dom Inocêncio,Região Nordeste,1929.2954545455,8,"15,9489825021"
178,1,mulher,50,0,287125,20508.9285714286,23927.0833333333,MG,Igaratinga,Região Sudeste,957.0833333333,1,"50,8054405689"
179,2,homem,30,0,13,0.9285714286,1.0833333333,MG,Paula Cândido,Região Sudeste,0.0722222222,7,"97,6363452355"
180,3,homem,36,0,0,0,0,SC,São José do Cerrito,Região Sul,0,4,"13,0023585585"
181,3,mulher,22,8,6955,496.7857142857,579.5833333333,TO,Axixá do Tocantins,Região Norte,52.6893939394,7,"102,2963646681"
182,2,homem,22,0,1505,107.5,125.4166666667,PE,Terra Nova,Região Nordeste,11.4015151515,9,"109,3743995758"
183,3,homem,29,4,313875,22419.6428571429,26156.25,BA,Ipupiara,Região Nordeste,5812.5,6,"107,7491772481"
184,2,homem,21,2,39,2.7857142857,3.25,RN,Augusto Severo,Região Nordeste,6.5,6,"1,6210729366"
185,3,mulher,21,0,22025,1573.2142857143,1835.4166666667,MG,Coqueiral,Região Sudeste,917.7083333333,9,"101,159003273"
186,1,homem,22,0,50,3.5714285714,4.1666666667,PB,Umbuzeiro,Região Nordeste,0.3787878788,9,"90,0006779859"
187,3,mulher,22,1,155,11.0714285714,12.9166666667,MG,Dores de Campos,Região Sudeste,1.1742424242,4,"63,9055796051"
188,1,homem,45,0,2655,189.6428571429,221.25,SP,Nova Europa,Região Sudeste,9.8333333333,8,"70,6953424676"
189,3,homem,40,1,155,11.0714285714,12.9166666667,PE,Salgadinho,Região Nordeste,0.6458333333,7,"112,2438500857"
190,3,homem,36,0,78958,5639.8571428572,6579.8333333333,SC,Monte Carlo,Região Sul,365.5462962963,9,"90,8122890246"
191,2,mulher,32,0,13,0.9285714286,1.0833333333,SC,Agrolândia,Região Sul,0.0677083333,7,"38,238792104"
192,2,homem,19,0,13,0.9285714286,1.0833333333,RS,Catuípe,Região Sul,0.1140350877,7,"28,8252587326"
193,3,mulher,19,1,78542,5610.1428571429,6545.1666666667,RR,Amajari,Região Norte,688.9649122807,9,"57,1615440283"
194,2,homem,21,1,26,1.8571428571,2.1666666667,PI,Ipiranga do Piauí,Região Nordeste,1.4444444444,7,"49,4796578351"
195,1,mulher,44,0,277208,19800.5714285714,23100.6666666667,SP,Torrinha,Região Sudeste,1050.0303030303,1,"6,6800500961"
196,1,mulher,58,0,1465208,104657.714285714,122100.666666667,SE,Riachuelo,Região Nordeste,4210.367816092,3,"7,32219167"
197,3,homem,22,0,775,55.3571428571,64.5833333333,MG,Riacho Dos Machados,Região Sudeste,5.8712121212,1,"23,832108551"
198,3,homem,42,0,84042,6003,7003.5,SC,Campo Erê,Região Sul,333.5,5,"96,1934448712"
199,3,mulher,22,0,775,55.3571428571,64.5833333333,RS,Chapada,Região Sul,5.8712121212,5,"70,7376829939"
200,2,mulher,24,0,13,0.9285714286,1.0833333333,RO,Vale do Anari,Região Norte,0.0902777778,4,"101,3168592821"
201,3,homem,28,0,95,6.7857142857,7.9166666667,GO,Cavalcante,Região Centro-Oeste,0.5654761905,1,"30,7890466196"
202,3,homem,22,8,6955,496.7857142857,579.5833333333,RN,Grossos,Região Nordeste,52.6893939394,3,"85,7946786538"
203,3,homem,34,0,64958,4639.8571428572,5413.1666666667,BA,Canápolis,Região Nordeste,318.4215686275,0,"0,220648939"
204,3,homem,21,0,7225,516.0714285714,602.0833333333,SC,Alfredo Wagner,Região Sul,2.6465201465,1,"69,1005000208"
205,3,homem,18,0,805,57.5,67.0833333333,MA,Montes Altos,Região Nordeste,7.4537037037,2,"31,4920519598"
206,3,mulher,21,0,104625,7473.2142857143,8718.75,RN,Bom Jesus,Região Nordeste,8718.75,6,"0,4502234576"
207,3,homem,32,1,1585,113.2142857143,132.0833333333,PB,Água Branca,Região Nordeste,8.2552083333,5,"98,9638439059"
208,3,homem,26,0,187875,13419.6428571429,15656.25,AM,Amaturá,Região Norte,1204.3269230769,9,"10,8938119878"
209,3,mulher,16,0,775,55.3571428571,64.5833333333,PB,Mulungu,Região Nordeste,8.0729166667,9,"73,4991744618"
210,1,homem,40,0,31,2.2142857143,2.5833333333,MG,Carneirinho,Região Sudeste,0.1291666667,1,"102,9498260336"
211,3,homem,24,0,705,50.3571428571,58.75,SP,Uchoa,Região Sudeste,4.8958333333,3,"103,73093741"
212,2,mulher,35,0,21,1.5,1.75,RJ,Varre-sai,Região Sudeste,0.1,2,"16,2206024919"
213,3,homem,22,0,725,51.7857142857,60.4166666667,TO,Esperantina,Região Norte,5.4924242424,8,"13,9614639588"
214,2,homem,30,0,13,0.9285714286,1.0833333333,ES,Bom Jesus do Norte,Região Sudeste,0.0722222222,4,"31,961237877"
215,3,homem,22,1,775,55.3571428571,64.5833333333,SC,São Domingos,Região Sul,5.8712121212,8,"18,7695762263"
216,1,mulher,31,1,113275,8091.0714285714,9439.5833333333,MG,Arceburgo,Região Sudeste,609.0053763441,6,"4,7612672398"
217,3,mulher,27,0,7925,566.0714285714,660.4166666667,ES,Águia Branca,Região Sudeste,48.9197530864,2,"18,849859068"
218,2,homem,42,1,27,1.9285714286,2.25,MG,Ipuiúna,Região Sudeste,0.1071428571,6,"100,5594694154"
219,1,mulher,32,0,762917,54494.0714285714,63576.4166666667,SC,Irani,Região Sul,3973.5260416667,7,"43,9025703446"
